queue->push(20785, 898);2500; ns
queue->push(471, 899);3000; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(8378, 904);2500; ns
queue->peek();1100; ns
queue->peek();1000; ns
queue->push(17340, 907);2700; ns
queue->push(2986, 908);3200; ns
queue->push(696, 909);3200; ns
queue->pop();2300; ns
queue->peek();1000; ns
queue->push(26327, 912);1400; ns
queue->pop();2200; ns
queue->push(28596, 914);1400; ns
queue->pop();2000; ns
queue->peek();1100; ns
queue->pop();17800; ns
queue->push(7840, 918);3200; ns
queue->push(1660, 919);3200; ns
queue->peek();1200; ns
queue->push(28324, 921);1400; ns
queue->peek();1100; ns
queue->pop();2300; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(10494, 926);2500; ns
queue->push(25166, 927);1400; ns
queue->push(14500, 928);3500; ns
queue->pop();2300; ns
queue->pop();2100; ns
queue->peek();1200; ns
queue->push(31855, 932);1500; ns
queue->peek();1100; ns
queue->push(22043, 934);1300; ns
queue->pop();2200; ns
queue->pop();29000; ns
queue->push(23250, 937);3500; ns
queue->push(18675, 938);3100; ns
queue->peek();1200; ns
queue->push(2305, 940);3100; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(282, 943);2300; ns
queue->pop();2100; ns
queue->push(30236, 945);1500; ns
queue->push(26309, 946);1400; ns
queue->push(4529, 947);2300; ns
queue->pop();2200; ns
queue->push(1770, 949);2200; ns
queue->pop();2200; ns
queue->pop();2100; ns
queue->push(31523, 952);1500; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(119, 955);2300; ns
queue->pop();2100; ns
queue->pop();34800; ns
queue->pop();2200; ns
queue->push(4443, 959);2300; ns
queue->push(10892, 960);3300; ns
queue->push(21381, 961);3500; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->push(21045, 964);3500; ns
queue->push(2871, 965);3000; ns
queue->push(15542, 966);3500; ns
queue->peek();1200; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->pop();2000; ns
queue->push(2711, 973);2300; ns
queue->push(11584, 974);2400; ns
queue->peek();1100; ns
queue->push(14450, 976);2700; ns
queue->pop();2200; ns
queue->peek();1200; ns
queue->push(2659, 979);2300; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(5866, 982);2200; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->push(18687, 986);1500; ns
queue->push(5472, 987);2300; ns
queue->push(24347, 988);1400; ns
queue->push(27215, 989);1500; ns
queue->pop();2200; ns
queue->push(1378, 991);2200; ns
queue->peek();1200; ns
queue->pop();2300; ns
queue->push(6336, 994);2300; ns
queue->pop();16300; ns
queue->peek();1200; ns
queue->peek();1200; ns
queue->pop();2100; ns
queue->push(2701, 999);2400; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->push(20558, 1002);1400; ns
queue->push(5696, 1003);2200; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->pop();51700; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->push(30820, 1009);1500; ns
queue->peek();1100; ns
queue->pop();2100; ns
queue->push(21960, 1012);1400; ns
queue->push(15726, 1013);2400; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->peek();1100; ns
queue->pop();2200; ns
queue->peek();1100; ns
queue->peek();1000; ns
queue->pop();2100; ns
queue->push(9394, 1021);2400; ns
queue->push(11153, 1022);2500; ns
queue->push(6981, 1023);2100; ns
queue->peek();1100; ns
